,neighbor_num,isite,atom,x,y,z,front_index
0,0,27,Si1,0.0,0.0,0.0,
1,1,87,O1,0.0,-1.8041124150158794e-16,1.6081905629171478,0.0
2,1,93,O1,1.5233960231364712,-1.3877787807814457e-16,-0.5252690274117744,0.0
3,1,68,O1,-0.7613711687357644,1.3141523332762763,-0.5293070482064268,0.0
4,1,45,O1,-0.751239815469465,-1.3202435028286195,-0.5369309465095633,0.0
5,2,23,Si1,-0.30430172790482657,-0.2407982994128569,3.1699534145825474,1.0
6,2,19,Si1,2.6478154883935647,1.1383663896595708,-0.7171069315064306,2.0
7,2,29,Si1,-1.4919128031753632,2.7475423804426904,-0.4601716177829278,3.0
8,2,5,Si1,-0.7117861807276786,-2.902022968559373,-0.2266224364090983,4.0
