,neighbor_num,isite,atom,x,y,z,front_index
0,0,2,Si1,0.0,0.0,0.0,
1,1,38,O1,0.0,0.0,1.6084583556855745,0.0
2,1,50,O1,-0.7587235761207569,-1.3176649311505715,-0.5305325443316362,0.0
3,1,26,O1,-0.762223766008082,1.3097227554636166,-0.5375488514846676,0.0
4,1,62,O1,1.515305866073815,0.0,-0.5414762429102408,0.0
5,2,19,Si1,0.6240481156385151,0.29873651189344747,3.060511634536254,1.0
6,2,21,Si1,-0.868495763993141,-2.4905659013690493,-1.6285400566787858,2.0
7,2,17,Si1,-1.5235742158997276,2.6204695791486623,-1.0738377568599236,3.0
8,2,22,Si1,3.064741468335636,0.3481260329588065,-0.281849630634724,4.0
9,3,65,O1,1.664541637242262,1.5222168439702177,2.9614283024177928,5.0
10,3,34,O1,1.3854609045885657,-1.0113744647900575,3.5982637400387745,5.0
11,3,52,O1,-0.5623607240089324,0.6852519677643023,4.078552387831652,5.0
12,3,39,O1,-2.418867313503061,-2.8364129563068294,-1.8812773808630303,6.0
13,3,30,O1,-0.10627199798505882,-3.8002886568326657,-1.0909912051941175,6.0
14,3,60,O1,-0.1915904835034874,-2.0015413387857017,-3.004040913759324,6.0
15,3,46,O1,-2.0325162965578003,3.4958238782666253,0.17591065443167442,7.0
16,3,67,O1,-0.5172104304839857,3.4958238782666258,-1.9740239441641412,7.0
17,3,54,O1,-2.791239872678558,2.178158947116054,-1.9630802455855365,7.0
18,3,41,O1,3.1798475033160765,1.5222168439702177,0.8114937038219779,8.0
19,3,31,O1,3.826902895285313,-0.9622325695063503,0.2542360207226795,8.0
20,3,49,O1,3.7422082347488868,0.8369648778619867,-1.6586003348159009,8.0
21,4,5,Si1,2.670905422658003,2.3975711430881805,2.0612421151135756,9.0
22,4,10,Si1,2.1476223315382432,-2.3217330672552148,4.134349391396178,10.0
23,4,4,Si1,-1.0656884392200006,1.5646574175260588,5.330221028297296,11.0
24,4,3,Si1,-3.6811991231738355,-3.277533747546506,-2.775184047479093,12.0
25,4,6,Si1,0.6550784519065862,-5.111035480517712,-0.5547022998188624,13.0
26,4,0,Si1,-0.19776632745021128,-2.0054067700932574,-4.613169658010108,14.0
27,4,10,Si1,-1.917410261577359,4.669914689278036,1.2692539888883774,15.0
28,4,7,Si1,0.5232830911197619,4.719304210343396,-2.0731072762826006,16.0
29,4,6,Si1,-3.409954141209015,1.8806122760155393,-3.4197977023266635,17.0
30,4,5,Si1,2.6709054226580027,2.39757114308818,2.0612421151135742,18.0
31,4,7,Si1,4.588315684235363,-2.2723435461898553,0.7919881262251994,19.0
32,4,1,Si1,3.7365938693018816,0.8329137272181935,-3.2689789196755217,20.0
