,neighbor_num,isite,atom,x,y,z,front_index
0,0,1,Si1,0.0,0.0,0.0,
1,1,33,O1,1.1102230246251565e-16,3.0814879110195774e-33,1.6101290459197637,0.0
2,1,40,O1,1.5193494063983843,0.0,-0.5248865918445019,0.0
3,1,49,O1,-0.7692193369052319,1.3099173701098006,-0.5343397005050983,0.0
4,1,44,O1,-0.7511404417170855,-1.3423449145194426,-0.4840338874641469,0.0
5,2,25,Si1,0.10498419704595752,0.5557823914604731,3.116354764317194,1.0
6,2,0,Si1,2.775516390777328,0.05596713780040686,-1.5263059544813542,2.0
7,2,9,Si1,-1.0907341137042452,2.756307060335584,0.09802728559795254,3.0
8,2,0,Si1,-0.8814683917488577,-2.8167088978040464,0.15600994475867475,4.0
9,3,84,O1,0.17356351297759653,-0.680535293816832,4.145191935359722,5.0
10,3,66,O1,-1.1834404671930925,1.467079060997574,3.4370626183328947,5.0
11,3,76,O1,1.4551398193289597,1.422293957808571,3.261817565886696,5.0
12,3,48,O1,2.6125308743204925,-1.0557119263997787,-2.6798683498308558,6.0
13,3,32,O1,4.12407977106154,-0.23081201696918668,-0.6946509357022058,6.0
14,3,44,O1,2.9058443408090997,1.5303311210850115,-2.166349786704176,6.0
15,3,65,O1,-1.6830756649352578,3.7457243329827796,-1.0266321591310428,7.0
16,3,58,O1,-2.171533455270992,2.582078164781859,1.2788622255111204,7.0
17,3,57,O1,0.26812082955283995,3.3872731852881635,0.6885135211883533,7.0
18,3,48,O1,-1.0444539082056932,-3.9283879620042317,-0.9975524505908264,8.0
19,3,40,O1,-2.137635376127801,-2.8726760356044534,1.1574293073955269,8.0
20,3,32,O1,0.46709498853535536,-3.10348805257364,0.9876649635378228,8.0
21,4,16,Si1,-0.6287409013579461,-1.7992177112334162,4.9794020394725305,9.0
22,4,10,Si1,-2.543821958013335,1.8531769161324643,2.665723156721179,10.0
23,4,16,Si1,3.02824388116824,1.0734583243710378,3.2970861402325022,11.0
24,4,8,Si1,3.1726848365528597,-2.55284950500368,-2.880141918061999,12.0
25,4,24,Si1,5.274526130971626,-1.0535683743992061,0.0722759267344153,13.0
26,4,1,Si1,3.656984782526186,2.872676035604454,-1.6823158992400291,14.0
27,4,26,Si1,-2.1839320923253664,5.275680508900536,-1.0682278544541985,15.0
28,4,10,Si1,-2.543821958013335,1.8531769161324643,2.665723156721179,16.0
29,4,10,Si1,1.11316282451285,4.725852951736918,0.98340725748115,17.0
30,4,8,Si1,-0.4842999459733251,-5.425525540608133,-1.1978260188219705,18.0
31,4,1,Si1,-3.6569847825261843,-2.872676035604453,1.6823158992400287,19.0
32,4,24,Si1,1.6175413484454413,-3.926244410003659,1.754591825974444,20.0
