,neighbor_num,isite,atom,x,y,z,front_index
0,0,12,Si1,0.0,0.0,0.0,
1,1,34,O1,1.5178564177583014,5.551115123125783e-17,-0.5365664362489972,0.0
2,1,20,O1,-0.7572510638351672,1.3170697334612484,-0.5348491749369207,0.0
3,1,40,O1,5.551115123125783e-17,0.0,1.6097617079754043,0.0
4,1,46,O1,-0.7605839122561515,-1.3097004561075631,-0.5375213997705262,0.0
5,2,6,Si1,2.943522402202454,-0.7459641522128055,-0.4681097325468021,1.0
6,2,0,Si1,-1.7573247504614664,1.8198633512327294,-1.6928124624362968,2.0
7,2,8,Si1,0.842853886322434,0.026912158790533214,2.9813036323521063,3.0
8,2,14,Si1,-1.5211678164623452,-2.6194009139740504,-1.0750427938749803,4.0
