,index,neighbor_num,isite,atom,x,y,z,front_index
0,0,0,0,Si1,0.0,0.0,0.0,
1,1,2,1,Si1,2.9564771567796084,0.7100366893776465,-0.6247789495873187,0.0
2,2,2,3,Si1,0.616873096325516,0.1481501489286698,3.087433180116808,0.0
3,3,2,2,Si1,-1.5167015730861668,-2.629952574482355,-1.0619226367890546,0.0
4,4,2,3,Si1,-0.9181308714072144,2.765347506244897,-1.201920712009806,0.0
5,5,4,3,Si1,4.930374567779289,-1.0816028472644337,-2.424354086652495,1.0
6,6,4,2,Si1,3.5733502531051244,0.8581868383063164,2.462654230529489,1.0
7,7,4,2,Si1,2.0383462853723944,3.475384195622543,-1.8266996615971247,1.0
8,8,4,0,Si1,1.5350039677327303,-2.617197357316227,4.289353892126614,2.0
9,9,4,2,Si1,3.5733502531051244,0.8581868383063164,2.462654230529489,2.0
10,10,4,1,Si1,-1.3570243146741643,1.9397896855707488,4.887008317181984,2.0
11,11,4,1,Si1,-0.5985707016789527,-5.395300080727251,0.1399980752207517,3.0
12,12,4,1,Si1,-2.133574669411683,-2.7781027234110245,-4.149355816905862,3.0
13,13,4,3,Si1,-4.473178729865775,-3.339989263860001,-0.4371436872017359,3.0
14,14,4,0,Si1,-1.5350039677327303,2.617197357316227,-4.289353892126614,4.0
15,15,4,2,Si1,2.0383462853723944,3.475384195622543,-1.8266996615971247,4.0
16,16,4,1,Si1,-2.8920282824068946,4.556987042886976,0.5976544250553695,4.0
