,ABW_0,ACO_0,AEI_0,AEI_1,AEI_8,AEI_9,AEL_0,AEL_1,AEL_16,AEL_8,AEL_9,AEN_0,AEN_1,AEN_16,AEN_17,AEN_8,AEN_9,AFI_0,AFI_6,AFN_0,AFN_10,AFN_12,AFN_14,AFN_2,AFN_4,AFN_6,AFN_8,AFO_0,AFO_1,AFO_12,AFO_16,AFO_8,AFR_0,AFR_1,AFR_16,AFR_17,AFR_24,AFR_25,AFR_8,AFR_9,AFS_0,AFS_24,AFS_30,AFS_48,AFS_50,AFS_6
ABW_0,0.0,4.614951493222904,3.6695802372070423,7.264782440439452,4.9133978559675,3.194225098977705,4.509949872990256,4.459785123873876,4.207995578148672,4.620268990615562,4.579572258671103,4.438016272988964,3.044301164413983,3.994060205148122,4.026040511533038,4.166241267262821,4.402893433505402,3.667656382914776,4.903333606191381,2.148204360532836,5.684978648627422,3.529292668941502,3.529895687932226,5.218037255206485,4.966518028225916,6.773949654664266,4.714525424286592,3.948823727318208,2.789505852606284,3.044714189027818,4.497034475804455,4.376623640780636,4.728087228228419,2.636009838924707,7.281023976703548,4.7155695251926,7.304577296860794,3.856123048025953,4.46585855220319,1.8923459024871931,6.303744699481817,5.945648431261761,2.686698963440547,4.773341324636301,5.395758449384426,5.886567437856646
ACO_0,4.614951493222904,0.0,5.966034712690775,3.736081502119845,4.079280974664211,7.003010159118333,3.774926231622065,4.82503730397758,3.5028241395684603,5.555434900709533,3.265057831675745,3.901492744002305,3.901492744002305,4.820245543855405,4.923521882796699,3.524718183827768,3.5250489571938477,4.652819181780056,6.37906459401409,6.655205302302333,6.337806714652273,4.487000579917392,4.402554113118855,6.655205307769797,6.866541187429743,3.684391820661354,1.8327155354810047,5.493595945041565,5.493595945041566,5.982551802500463,3.82060151927713,5.444282332948643,0.9596755858310804,7.040415880465982,6.609544470170377,6.609544470170378,4.276208903281343,4.275678492845609,8.072177451401815,5.751570662706246,3.3198215150605384,3.093226889208817,7.765256878629367,0.3696381819800035,0.3696381817122878,3.319821534033282
AEI_0,3.6695802372070423,5.966034712690775,0.0,4.401230598574884,4.953645534701919,4.83271210135642,6.069638329857982,6.502817901783916,4.6591369956146425,7.155509673408219,5.492542592262221,4.494132278286306,1.7689843675058468,5.852629914873172,3.749465070909472,4.75277028425284,6.92534386080464,6.751416428371107,3.389569106624564,5.632247169281792,6.4029581584349895,3.048746867617114,5.789081237735527,4.770766116607948,4.470518018600983,6.870441887537112,6.190707818272548,6.567560894504967,6.172401435799011,4.510468864095777,4.434780262894553,6.06308720563492,6.44962144191726,3.923036282140132,4.629580647996681,1.365077703951388,8.342173131261212,6.649555393391042,5.1498582207022,5.954486053176094,8.380883793612037,3.129521581761355,4.288991909773989,6.096657246952245,6.371754538031508,5.771730953505815
AEI_1,7.264782440439452,3.736081502119845,4.401230598574884,0.0,4.142107385806283,6.182030757821316,3.779049649512662,5.248006205716053,3.7180865480252336,4.7102539770868965,4.275323283299758,5.014374245067688,4.140300598096446,5.31361024911249,4.392541627695033,5.476092880368942,4.891694962133881,5.014058023258317,4.188396841073288,9.03357454918467,4.926719067902368,5.399088456467459,6.289832642264765,4.993363917721192,5.4639069637851305,4.509859206963838,4.664208991233947,5.05517187355286,5.451776482418139,6.566549354959348,3.846942178230609,4.190698633228275,4.106283126647791,7.665829480130481,4.32070290246667,4.934192331794165,4.685223201509032,6.5539689027838826,5.949134778577939,8.551514674357165,4.668771629240827,2.2124028562536746,8.152946300346805,3.8523868092542655,3.529609503257184,3.179279354492633
AEI_8,4.9133978559675,4.079280974664211,4.953645534701919,4.142107385806283,0.0,8.650926868785609,3.4570113482481486,4.567833404035068,4.634320657283153,4.865887245593544,4.498871258378827,1.7236164734946349,3.813129504661246,6.31695878564579,4.610295176539109,5.443824141316175,5.292574160050466,4.169240068364845,4.929108814336715,6.262814135152964,2.6814456507899664,3.096135672546175,5.704630282004441,4.112297750008881,8.902468658616888,6.222527046526577,3.02241783667126,5.289872532765929,6.0878914516719,5.083627426504043,6.604210151123064,3.4710009606550565,3.606064523037128,7.672855852061234,3.495174014318136,7.055569303872758,4.8079454191421656,3.4509018002582548,8.636881375662323,5.644559089699529,4.696399317092111,5.288393639784415,6.827702650019618,3.6968577530094975,4.195597718086326,7.099764240054851
AEI_9,3.194225098977705,7.003010159118333,4.83271210135642,6.182030757821316,8.650926868785609,0.0,6.6308609726140695,5.758268310538076,4.3930714763091165,5.251174830577598,7.043562327520192,6.78669493263404,5.658190641422743,3.3507869962120505,5.802778168709727,4.923952410334657,5.772191270867541,4.9303559420130085,4.025647401018755,3.925559370877611,6.283084133021624,5.710669906394757,3.0681468841205395,6.714450385591524,2.0164906765166366,6.300684794509866,7.613787976749221,4.7854073490807645,3.6074113914108703,5.4937116839397655,4.055515603225274,5.475201915434679,6.2880077667702405,2.6791954119105568,6.61907741531717,3.8713568044935207,6.784918827217537,8.084144245451721,1.0164190327928198,4.647328545103536,6.251764324320413,6.876336747334215,3.023100785860741,7.180383040981507,7.370479907257241,4.929477615790589
AEL_0,4.509949872990256,3.774926231622065,6.069638329857982,3.779049649512662,3.4570113482481486,6.6308609726140695,0.0,2.997894080520953,4.417148264979654,4.123132937546424,4.842808395155069,3.434320497796155,5.103855034138261,5.761443477448471,4.804263236872157,4.936796379215892,3.672570223141311,4.764569101326129,5.836606903714601,5.484520482764547,4.993095599245114,4.799163116857647,3.900950615131471,6.3477110521015625,6.085963491062091,4.843273552363378,4.136848075005986,4.62747887125312,4.843060193806661,3.885027340710924,4.766119644114,4.570988572612004,2.906902143599065,6.936292328945852,4.707313410809667,6.836765321135126,4.839401762154183,5.208861933669206,7.015978340431686,6.291597985052161,4.163791607210063,5.610232888782525,6.021248987031658,3.47620282123204,4.445410594613189,5.324086858230353
AEL_1,4.459785123873876,4.82503730397758,6.502817901783916,5.248006205716053,4.567833404035068,5.758268310538076,2.997894080520953,0.0,4.660131224571455,4.822465122275495,4.11760405998137,3.983229110942451,5.528555650889265,4.99809716473338,6.07390944050415,3.5071926075613997,3.630767393885384,4.789498947668747,6.015718018805463,3.4649390288506754,3.005224322437357,5.788628789817698,5.249525513954665,6.138957152623276,7.335930623810517,5.024883960723885,5.302766472093211,4.9796167616809495,6.108381219529152,5.217369009325745,5.10269355984571,3.9294485222305537,4.646400469353703,6.100067940414675,4.1671877820105,5.746966960996806,3.4879958566941536,5.548373353142226,6.85054874943349,4.641468974394574,3.72420856342949,6.2373909933462,5.425742640101239,4.8698042315918615,5.356339819176222,6.591562435944237
AEL_16,4.207995578148672,3.5028241395684603,4.6591369956146425,3.7180865480252336,4.634320657283153,4.3930714763091165,4.417148264979654,4.660131224571455,0.0,3.992454740747472,3.853299179311086,4.275610275935444,3.476602787044748,2.884487125623956,2.925199489343816,2.940144261548128,3.4595513052895064,3.5416068486776187,2.0108735936887387,5.553838921530102,5.584521526633995,4.328245326397105,3.41543013101217,5.090871128339884,4.170708568378323,3.3261158589340947,4.294735861790102,4.214676514275257,3.7273314601505,5.171551076242669,1.2425808095704325,3.517477039743468,3.575450945809989,5.1395146122872495,5.198221990122602,4.325030890861378,3.651512094496981,4.717907039957856,4.20687640577116,6.182540764258402,4.1900595971691175,4.148351231908293,6.140000069624634,3.85522893248973,3.6004900790935976,4.184152287714924
AEL_8,4.620268990615562,5.555434900709533,7.155509673408219,4.7102539770868965,4.865887245593544,5.251174830577598,4.123132937546424,4.822465122275495,3.992454740747472,0.0,4.745176424289238,4.4887005951336425,6.073359327039037,4.63288497253619,3.5124096242039813,5.392611239752212,3.229983698924117,1.0036185338640722,4.576746372420048,5.260797645919947,4.469685486340282,5.520219705308135,4.314872839071109,4.38728641470884,6.1214301397972735,6.810973505137692,4.477178152678853,0.513875583488261,2.095830297762546,4.121165339790042,4.522339331162098,1.075828780569272,4.993670691561004,5.374291558875457,6.314218211228587,7.498681922679736,4.560227869534411,3.998656886217122,5.725157504982446,4.837084447560558,4.3446759377098045,6.457295543857917,6.335170268186487,5.48495761782992,5.261025899623987,5.376355352116479
