,BCT_0,MVY_0,MVY_4,NPO_0
BCT_0,0.0,2.6966121408775825,2.696612140877584,2.6554681949094188
MVY_0,2.6966121408775825,0.0,3.8181334617669145,3.534364312012033
MVY_4,2.696612140877584,3.8181334617669145,0.0,3.5865644929765708
NPO_0,2.6554681949094188,3.534364312012033,3.5865644929765708,0.0
