,ABW_0,ATT_8,CAN_0,DFT_0,JBW_0,MVY_8,NAB_0,NAB_1,SBN_6
ABW_0,0.0,0.5634677502155583,1.0740849915391464,3.0897966204713416,0.4223081174449447,3.869786537795322,3.985636288151297,3.275403239243586,2.399146652609619
ATT_8,0.5634677502155583,0.0,1.487059331834924,3.480236294984646,1.1103429244738228,4.182636298485518,4.380767583263855,4.036671862814485,1.7248755924012151
CAN_0,1.0740849915391464,1.487059331834924,0.0,2.909169238754509,1.6129450209259464,3.943301347648044,4.1859148686449945,3.869542287030971,3.2841621249289776
DFT_0,3.0897966204713416,3.480236294984646,2.909169238754509,0.0,2.61750336166202,3.8823762719685937,2.931471847203541,1.6867079390424458,3.0124438781914744
JBW_0,0.4223081174449447,1.1103429244738228,1.6129450209259464,2.61750336166202,0.0,3.088550526694513,4.023500641062233,3.64371265689201,2.938683435932021
MVY_8,3.869786537795322,4.182636298485518,3.943301347648044,3.8823762719685937,3.088550526694513,0.0,5.172126193033956,3.9030127095745537,3.7462235738896874
NAB_0,3.985636288151297,4.380767583263855,4.1859148686449945,2.931471847203541,4.023500641062233,5.172126193033956,0.0,1.3791737811196083,4.604389028818477
NAB_1,3.275403239243586,4.036671862814485,3.869542287030971,1.6867079390424458,3.64371265689201,3.9030127095745537,1.3791737811196083,0.0,3.0677819118084457
SBN_6,2.399146652609619,1.7248755924012151,3.2841621249289776,3.0124438781914744,2.938683435932021,3.7462235738896874,4.604389028818477,3.0677819118084457,0.0
