,neighbor_num,isite,atom,x,y,z,front_index
0,0,25,Si1,0.0,0.0,0.0,
1,1,73,O1,1.5142141608484354,-1.2664754743907087e-16,-0.5453958392609344,0.0
2,1,77,O1,-0.7527481407935969,1.3144422644372127,-0.5415645260092189,0.0
3,1,89,O1,1.1102230246251565e-16,3.5972027487015365e-16,1.6092155533230545,0.0
4,1,74,O1,-0.7663034101040952,-1.3059952559549246,-0.5453958392609345,0.0
5,2,19,Si1,3.1150685524840003,-0.1512904183690623,-0.6136090677995123,1.0
6,2,21,Si1,-1.5409549314805502,2.690802115293932,-0.27792862842781435,2.0
7,2,27,Si1,0.4267055020463998,-0.745109440943116,2.971094844665231,3.0
8,2,19,Si1,-1.4459665894210612,-2.763280930278911,-0.6136090677995123,4.0
