isite = 0  :  ce_fraction = 1.0
['Si1', 5.060352, 1.15266076, 2.211737]
[36, 'O1', 4.0825444, 0.27161709, 1.2859285]
[60, 'O1', 4.6986159, 2.71274715, 2.043681]
[72, 'O1', 4.8725655, 0.72241016, 3.75125]
[84, 'O1', 6.589, 0.90615113, 1.7690895]

isite = 1  :  ce_fraction = 1.0
['Si1', 9.6495905, 3.806063, 2.211737]
[73, 'O1', 10.1160917, 3.85856042, 3.75125]
[85, 'O1', 9.0987501, 5.25316582, 1.7690895]
[61, 'O1', 8.4793841, 2.71274715, 2.043681]
[37, 'O1', 10.9015005, 3.39977862, 1.2859285]

isite = 2  :  ce_fraction = 1.0
['Si1', 5.0570575, 6.45375901, 2.211737]
[86, 'O1', 4.0792499, 5.25316582, 1.7690895]
[74, 'O1', 4.7783428, 6.83151219, 3.75125]
[38, 'O1', 4.7829551, 7.74108706, 1.2859285]
[62, 'O1', 6.589, 5.98698846, 2.043681]

isite = 3  :  ce_fraction = 1.0
['Si1', 1.528648, 10.25982201, 9.714237]
[75, 'O1', 1.7164345, 10.69007261, 11.25375]
[63, 'O1', 1.8903841, 8.69973562, 9.546181]
[87, 'O1', 0.0, 10.50633164, 9.2715895]
[39, 'O1', 2.5064556, 11.14086568, 8.7884285]

isite = 4  :  ce_fraction = 1.0
['Si1', -3.0605905, 7.60641977, 9.714237]
[76, 'O1', -3.5270917, 7.55392235, 11.25375]
[40, 'O1', -4.3125005, 8.01270415, 8.7884285]
[88, 'O1', -2.5097501, 6.15931695, 9.2715895]
[64, 'O1', -1.8903841, 8.69973562, 9.546181]

isite = 5  :  ce_fraction = 1.0
['Si1', 1.5319425, 4.95872376, 9.714237]
[77, 'O1', 1.8106572, 4.58097058, 11.25375]
[41, 'O1', 1.8060449, 3.67139571, 8.7884285]
[89, 'O1', 2.5097501, 6.15931695, 9.2715895]
[65, 'O1', 0.0, 5.42549431, 9.546181]

isite = 6  :  ce_fraction = 1.0
['Si1', 8.1209425, 6.45375901, 2.211737]
[78, 'O1', 8.3996572, 6.83151219, 3.75125]
[85, 'O1', 9.0987501, 5.25316582, 1.7690895]
