,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,2.3442224102343987
4,0,5,2.3442224102343987
5,0,6,2.344222410234399
6,0,7,2.344222410234399
7,0,8,2.3442224102343983
8,0,9,2.3442224102343983
9,0,10,2.344222410234398
10,0,11,2.3442224102344
11,0,12,0.0
12,0,13,0.0
13,0,14,0.0
14,0,15,0.0
15,0,16,2.648365877057824
16,0,17,2.6483658770578224
17,0,18,2.648365877057824
18,0,19,2.648365877057826
19,0,20,1.5276184341352013
20,0,21,1.5276184341352013
21,0,22,1.5276184341352022
22,0,23,1.5276184341352017
23,1,2,0.0
24,1,3,0.0
25,1,4,2.339801771191574
26,1,5,2.3398017711915746
27,1,6,2.339801771191573
28,1,7,2.3398017711915733
29,1,8,2.339801771191572
30,1,9,2.3398017711915737
31,1,10,2.339801771191574
32,1,11,2.339801771191573
33,1,12,0.0
34,1,13,0.0
35,1,14,0.0
36,1,15,0.0
37,1,16,2.634921456396784
38,1,17,2.6349214563967824
39,1,18,2.634921456396785
40,1,19,2.634921456396786
41,1,20,1.5275087843980473
42,1,21,1.5275087843980475
43,1,22,1.527508784398048
44,1,23,1.527508784398047
45,2,3,0.0
46,2,4,2.338316538484849
47,2,5,2.3383165384848503
48,2,6,2.338316538484848
49,2,7,2.338316538484849
50,2,8,2.338316538484849
51,2,9,2.338316538484849
52,2,10,2.338316538484852
53,2,11,2.338316538484849
54,2,12,0.0
55,2,13,0.0
56,2,14,0.0
57,2,15,0.0
58,2,16,2.6418096908108764
59,2,17,2.6418096908108764
60,2,18,2.6418096908108764
61,2,19,2.641809690810877
62,2,20,1.531391095709774
63,2,21,1.5313910957097747
64,2,22,1.5313910957097738
65,2,23,1.5313910957097745
66,3,4,2.344222410234398
67,3,5,2.3442224102343974
68,3,6,2.344222410234397
69,3,7,2.3442224102343974
70,3,8,2.344222410234398
71,3,9,2.344222410234397
72,3,10,2.344222410234397
73,3,11,2.344222410234397
74,3,12,0.0
75,3,13,0.0
76,3,14,0.0
77,3,15,0.0
78,3,16,2.6483658770578207
79,3,17,2.64836587705782
80,3,18,2.648365877057821
81,3,19,2.648365877057823
82,3,20,1.5276184341352
83,3,21,1.5276184341352004
84,3,22,1.5276184341352008
85,3,23,1.5276184341352006
86,4,5,0.0
87,4,6,0.0
88,4,7,0.0
89,4,8,0.0
90,4,9,0.0
91,4,10,0.0
92,4,11,0.0
93,4,12,2.33980177119157
94,4,13,2.3398017711915755
95,4,14,2.339801771191573
96,4,15,2.3398017711915724
97,4,16,1.5275087843980462
98,4,17,1.5275087843980462
99,4,18,1.5275087843980468
100,4,19,1.5275087843980484
101,4,20,2.634921456396785
102,4,21,2.634921456396783
103,4,22,2.6349214563967838
104,4,23,2.6349214563967847
105,5,6,0.0
106,5,7,0.0
107,5,8,0.0
108,5,9,0.0
109,5,10,0.0
110,5,11,0.0
111,5,12,2.3355690699250045
112,5,13,2.3355690699250067
113,5,14,2.3355690699250053
114,5,15,2.3355690699250045
115,5,16,1.5176218504788572
116,5,17,1.5176218504788572
117,5,18,1.5176218504788563
118,5,19,1.5176218504788563
119,5,20,2.624811141721409
120,5,21,2.6248111417214077
121,5,22,2.6248111417214086
122,5,23,2.624811141721409
123,6,7,0.0
124,6,8,0.0
125,6,9,0.0
126,6,10,0.0
127,6,11,0.0
128,6,12,2.3398017711915724
129,6,13,2.3398017711915755
130,6,14,2.339801771191572
131,6,15,2.339801771191572
132,6,16,1.5275087843980453
133,6,17,1.5275087843980453
134,6,18,1.5275087843980455
135,6,19,1.5275087843980473
136,6,20,2.634921456396787
137,6,21,2.634921456396784
138,6,22,2.634921456396785
139,6,23,2.6349214563967864
140,7,8,0.0
141,7,9,0.0
142,7,10,0.0
143,7,11,0.0
144,7,12,2.338316538484849
145,7,13,2.338316538484849
146,7,14,2.338316538484849
147,7,15,2.338316538484847
148,7,16,1.531391095709774
149,7,17,1.5313910957097736
150,7,18,1.5313910957097734
151,7,19,1.531391095709773
152,7,20,2.641809690810877
153,7,21,2.641809690810876
154,7,22,2.6418096908108746
155,7,23,2.641809690810875
156,8,9,0.0
157,8,10,0.0
158,8,11,0.0
159,8,12,2.33980177119157
160,8,13,2.3398017711915755
161,8,14,2.3398017711915733
162,8,15,2.339801771191573
163,8,16,1.5275087843980473
164,8,17,1.527508784398047
165,8,18,1.5275087843980475
166,8,19,1.5275087843980488
167,8,20,2.634921456396785
168,8,21,2.634921456396783
169,8,22,2.634921456396784
170,8,23,2.634921456396785
171,9,10,0.0
172,9,11,0.0
173,9,12,2.3355690699250053
174,9,13,2.335569069925008
175,9,14,2.3355690699250062
176,9,15,2.335569069925005
177,9,16,1.517621850478859
178,9,17,1.517621850478859
179,9,18,1.5176218504788577
180,9,19,1.5176218504788574
181,9,20,2.6248111417214117
182,9,21,2.62481114172141
183,9,22,2.624811141721412
184,9,23,2.624811141721412
185,10,11,0.0
186,10,12,2.3355690699250045
187,10,13,2.3355690699250067
188,10,14,2.3355690699250053
189,10,15,2.3355690699250045
190,10,16,1.5176218504788574
191,10,17,1.5176218504788574
192,10,18,1.5176218504788568
193,10,19,1.5176218504788566
194,10,20,2.62481114172141
195,10,21,2.624811141721408
196,10,22,2.62481114172141
197,10,23,2.6248111417214104
198,11,12,2.344222410234398
199,11,13,2.3442224102343983
200,11,14,2.3442224102343974
201,11,15,2.344222410234399
202,11,16,1.5276184341352024
203,11,17,1.5276184341352017
204,11,18,1.5276184341352022
205,11,19,1.5276184341352033
206,11,20,2.648365877057824
207,11,21,2.648365877057823
208,11,22,2.6483658770578216
209,11,23,2.648365877057824
210,12,13,0.0
211,12,14,0.0
212,12,15,0.0
213,12,16,2.648957034181161
214,12,17,2.6489570341811586
215,12,18,2.6489570341811626
216,12,19,2.6489570341811635
217,12,20,1.5259615608091728
218,12,21,1.5259615608091726
219,12,22,1.525961560809174
220,12,23,1.5259615608091723
221,13,14,0.0
222,13,15,0.0
223,13,16,2.641809690810877
224,13,17,2.6418096908108764
225,13,18,2.6418096908108764
226,13,19,2.641809690810877
227,13,20,1.5313910957097745
228,13,21,1.5313910957097745
229,13,22,1.5313910957097738
230,13,23,1.5313910957097745
231,14,15,0.0
232,14,16,2.6483658770578207
233,14,17,2.6483658770578207
234,14,18,2.6483658770578216
235,14,19,2.648365877057824
236,14,20,1.5276184341352008
237,14,21,1.527618434135201
238,14,22,1.5276184341352017
239,14,23,1.527618434135202
240,15,16,2.66195280638024
241,15,17,2.66195280638024
242,15,18,2.6619528063802385
243,15,19,2.661952806380236
244,15,20,1.5308682696618667
245,15,21,1.5308682696618665
246,15,22,1.5308682696618654
247,15,23,1.530868269661866
248,16,17,0.0
249,16,18,0.0
250,16,19,0.0
251,16,20,2.4064700901130123
252,16,21,2.406470090113013
253,16,22,2.4064700901130127
