,neighbor_num,isite,atom,x,y,z,front_index
0,0,16,Si1,0.0,0.0,0.0,
1,1,43,O1,1.5179015878373483,1.1102230246251565e-16,-0.5356644487423687,0.0
2,1,60,O1,-0.7622261498727531,-1.3112200932470655,-0.5393084490674015,0.0
3,1,36,O1,0.0,1.1102230246251565e-16,1.6096464307435994,0.0
4,1,64,O1,-0.7525174654313777,1.31903778843708,-0.5324391287883254,0.0
5,2,4,Si1,2.848413681308191,-0.6117063236361273,-1.2039151877808596,1.0
6,2,12,Si1,-1.9690763357668077,-1.948041234764161,-1.3932079146261263,2.0
7,2,4,Si1,-0.18738949436650543,-0.6117063236361271,3.086706571191076,3.0
8,2,20,Si1,-1.754583199166374,2.3593766316822844,-1.2414446080865984,4.0
9,3,36,O1,3.035803175674696,1.1102230246251565e-16,-2.6809753282283366,5.0
10,3,44,O1,2.716597389463338,-2.21131250611487,-1.2971809986278526,5.0
11,3,24,O1,4.12381541905315,-0.22399396218348278,-0.30151249110621725,5.0
12,3,59,O1,-1.8569589913137174,-1.4623810835757443,-2.9235264042322475,6.0
13,3,47,O1,-1.878206689743878,-3.552632614175666,-1.3289136525201726,6.0
14,3,52,O1,-3.374860579151066,-1.4623810835757438,-0.7782155247462794,6.0
15,3,43,O1,-1.5179015878373483,5.551115123125783e-16,3.7549573102295675,7.0
16,3,44,O1,-0.3192057862113586,-2.2113125061148695,2.993440760344083,7.0
17,3,24,O1,1.0880122433784538,-0.22399396218348255,3.9891092678657185,7.0
18,3,69,O1,-3.2471013466603917,2.1285280237162514,-0.6878202614243777,8.0
19,3,68,O1,-1.729199758823043,2.1285280237162514,-2.8331311409103455,8.0
20,3,65,O1,-1.2859138951809883,3.862545690162456,-0.9098405093554632,8.0
21,4,16,Si1,3.035803175674696,0.0,-4.290621758971936,9.0
22,4,15,Si1,2.8074670354862685,-3.8159038855263745,-1.2328867365218996,10.0
23,4,0,Si1,5.401051754645174,-0.6045306613844219,0.6021882640511049,11.0
24,4,8,Si1,-1.8134272043286606,-1.157528737808577,-4.502372185420643,12.0
25,4,7,Si1,-2.0100229815887305,-5.152238796654409,-1.4221794633671654,13.0
26,4,8,Si1,-4.849230380003356,-1.1575287378085763,-0.211750426448707,14.0
27,4,16,Si1,-3.035803175674696,0.0,4.290621758971936,15.0
28,4,15,Si1,-0.2283361401884283,-3.8159038855263745,3.057735022450036,16.0
29,4,0,Si1,2.3652485789704767,-0.604530661384421,4.892810023023041,17.0
30,4,22,Si1,-4.739619494154409,1.8976794157502184,-0.1341959147621564,18.0
31,4,22,Si1,-1.7038163184797117,1.8976794157502186,-4.4248176737340925,19.0
32,4,17,Si1,-1.1455493793280225,5.462567305718931,-0.8105264549092899,20.0
